exp,0.00317
exp2,-0.0000946
exp3,-1.29E-06
cq (75p SAT math),0.00345
sex (female),0.01476
race (black/hispan),-0.01548
major (educ),0
ability,0.00773
MA,0.0103
license,0
intercept,-0.01745
transient shock SD,0.1817
